category,image,item_id,like,link,price,review,title
Portable Power Stations,https://img.gkbcdn.com/p/2022-09-23/NOVOO-MiniGo-148Wh-Power-Station-517174-0._w280_.jpg,517174,6,https://www.geekbuying.com/item/NOVOO-MiniGo-148Wh-Power-Station-517174.html,$160.62,5,"NOVOO MiniGo 100W Portable Power Station, 148Wh/40000mAh Laptop Mobile Charger Power Supply, PD 60W Fast Charging, LED Light"
Portable Power Stations,https://img.gkbcdn.com/p/2022-09-13/zendure-superbase-pro-2000-2096wh-portable-power-station-eu-plug-29b60a-1663071999710._w280_.jpg,502678,27,https://www.geekbuying.com/item/ZENDURE-SuperBase-Pro-2096Wh-Portable-Power-Station-502678.html,$1954.44,8,"ZENDURE SuperBase Pro 2000 Portable Power Station 2,096Wh Large Capacity 3,000W Ampup Capability, 14 Outputs, 6.1 Inch Clear Display, Built-in 4G IoT, App Control, Charge to 80% in 1 Hour, with Industrial-Grade Wheels - EU Plug"
Electric Scooters,https://img.gkbcdn.com/p/2019-09-24/kugoo-s1-pro-folding-electric-scooter-350w-motor-8-0-inch-tire-black-1574132525667._w280_.jpg,416796,523,https://www.geekbuying.com/item/KUGOO-S1-Pro-Folding-Electric-Scooter-350W-Motor-8-0-Inch-Tire-Black-416796.html,$279.99,122,KUGOO S3 Pro Folding Electric Scooter 350W Motor LCD Display Screen 3 Speed Modes Max 30km/h - Black
Bikes,https://img.gkbcdn.com/p/2022-07-11/ENGWE-T14-Folding-Electric-Bicycle-14-Inch-Tire-508466-0._w280_.jpg,508466,33,https://www.geekbuying.com/item/ENGWE-T14-Folding-Electric-Bicycle-14-Inch-Tire-508466.html,$536.76,5,ENGWE T14 Folding Electric Bicycle 14 Inch Tire 250W Brushless Motor 48V 10Ah Battery 25km/h Max Speed - Grey
Electric Scooters,https://img.gkbcdn.com/p/2020-10-22/kugoo-kirin-mini-2-folding-electric-scoote-150w-motor-max-15km-h-black-1603345260263._w280_.jpg,426196,40,https://www.geekbuying.com/item/KUGOO-KIRIN-Mini-2-Folding-Electric-Scoote-150W-Motor-Max-15KM-H-Black-426196.html,$175.20,7,KugooKirin Mini 2 Folding Electric Scooter Gift for Kids 150W Brushless Motor Max 15 km/h 4AH Battery Front 8 Inch Rear 6.5 Inch Solid Tires 10~15km Max Range - Black
Electric Scooters,https://img.gkbcdn.com/p/2022-09-16/KuKirin-G2-Pro-Electric-Scooter-600W-Motor-48V-15Ah-Battery-517054-1._w280_.jpg,517054,31,https://www.geekbuying.com/item/KuKirin-G2-Pro-Electric-Scooter-9-Inch-48V-15Ah-45Km-h-600W-Motor-517054.html,$679.99,8,KuKirin G2 PRO Adventurers Dream Folding Electric Scooter 9 Inch Pneumatic Tire 600W Brushless Motor 48V 15AH Battery Max Speed 45km/h Max Range 55KM HD LCD Display Dual Disc Brake Led Light with Seat - Black
Bikes,https://img.gkbcdn.com/p/2018-07-16/xiaomi-himo-h1-portable-folding-two-wheel-electric-bicycle-1574132600808._w280_.jpg,400297,56,https://www.geekbuying.com/item/Xiaomi-HIMO-H1-Portable-Folding-Two-Wheel-Electric-Bicycle-400297.html,$279.99,4,Xiaomi HIMO H1 Portable Folding Two-Wheel Electric Bicycle 30KM Endurance A3 Paper Size Safe And Comfort - Gray
Electric Scooters,https://img.gkbcdn.com/p/2021-05-13/bogist-c1-pro-folding-electric-scooter-500w-motor-13ah-battery-black-1620907547441._w280_.jpg,459721,35,https://www.geekbuying.com/item/BOGIST-M5-Pro-12-Inch-Pneumatic-Tire-500W-Motor-40Km-h-48V11Ah-Black-459721.html,$549.99,3,BOGIST M5 Pro Folding Electric Scooter 12 Inch Pneumatic Tire 500W Motor Max Speed 40Km/h 48V 11Ah Battery Smart BMS Disc Brake 30-35KM Long Range with Seat - Black
Electric Scooters,https://img.gkbcdn.com/p/2022-08-12/422ef61d1a2e436d9c637e766e7fe63c-514034-0._w280_.jpg,514034,27,https://www.geekbuying.com/item/AOVOPRO-M365-Pro-ES80-8-5in--350W-25KM-H-36V-10-5AH-Electric-Scooter-514034.html,$309.99,5,AOVOPRO M365 Pro/ ES80  Electric Scooter 8.5 Inch 350W Motor Max Speed 25KM/h 36V 10.5Ah Battery 3 Speed Modes Max Load 120KG Dual Brake App Control LCD Display Full Body Waterproof Foldable Electric Scooter
Portable Power Stations,https://img.gkbcdn.com/p/2022-10-11/NECESPOW-N7576-700W-Portable-Power-Station-517810-0._w280_.jpg,517810,15,https://www.geekbuying.com/item/NECESPOW-N7576-700W-Portable-Power-Station-517810.html,$439.99,5,"NECESPOW N7576 700W Portable Power Station, 576Wh/180000mAh LiFePo4 Battery Solar Generator, 230V AC Pure Sine Wave, PD100W Fast Charging"
